"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-09","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-09","3-10","16-59","1-2","16-59","Home",0
"2020-09","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-09","3-10","60+","1-2","16-59","Home",0
"2020-09","1-2","16-59","3-10","16-59","Home",0
"2020-09","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-09","1-2","60+","3-10","16-59","Home",0
"2020-09","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-09","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-09","3-10","16-59","1-2","60+","Home",0
"2020-09","1-2","60+","1-2","60+","Home",272834.210196039
"2020-09","3-10","60+","1-2","60+","Home",0
"2020-09","1-2","16-59","3-10","60+","Home",0
"2020-09","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-09","1-2","60+","3-10","60+","Home",0
"2020-09","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-09","1-2","16-59","1-2","16-59","Other",4645703.36023193
"2020-09","3-10","16-59","1-2","16-59","Other",5916555.44091875
"2020-09","1-2","60+","1-2","16-59","Other",723559.836303979
"2020-09","3-10","60+","1-2","16-59","Other",1168363.53283977
"2020-09","1-2","16-59","3-10","16-59","Other",5954075.38473971
"2020-09","3-10","16-59","3-10","16-59","Other",37202311.6154041
"2020-09","1-2","60+","3-10","16-59","Other",921492.733040291
"2020-09","3-10","60+","3-10","16-59","Other",7300180.367246
"2020-09","1-2","16-59","1-2","60+","Other",723559.836303979
"2020-09","3-10","16-59","1-2","60+","Other",921492.733040291
"2020-09","1-2","60+","1-2","60+","Other",263144.835335082
"2020-09","3-10","60+","1-2","60+","Other",424911.408890683
"2020-09","1-2","16-59","3-10","60+","Other",1168363.53283977
"2020-09","3-10","16-59","3-10","60+","Other",7300180.367246
"2020-09","1-2","60+","3-10","60+","Other",387391.465069724
"2020-09","3-10","60+","3-10","60+","Other",3068963.50491026
"2020-10","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-10","3-10","16-59","1-2","16-59","Home",0
"2020-10","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-10","3-10","60+","1-2","16-59","Home",0
"2020-10","1-2","16-59","3-10","16-59","Home",0
"2020-10","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-10","1-2","60+","3-10","16-59","Home",0
"2020-10","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-10","1-2","16-59","1-2","60+","Home",807094.877052283
