"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact.pp"
"2020-12","3-10","60+","1-2","60+","Other",0.199710628118096
"2020-12","1-2","16-59","3-10","60+","Other",0.645904359264724
"2020-12","3-10","16-59","3-10","60+","Other",1.3648289637771
"2020-12","1-2","60+","3-10","60+","Other",0.868629299321202
"2020-12","3-10","60+","3-10","60+","Other",1.83545815954634
"2021-01","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2021-01","3-10","16-59","1-2","16-59","Home",0
"2021-01","1-2","60+","1-2","16-59","Home",1.85023504834696
"2021-01","3-10","60+","1-2","16-59","Home",0
"2021-01","1-2","16-59","3-10","16-59","Home",0
"2021-01","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2021-01","1-2","60+","3-10","16-59","Home",0
"2021-01","3-10","60+","3-10","16-59","Home",1.7432544658963
"2021-01","1-2","16-59","1-2","60+","Home",0.592457176176249
"2021-01","3-10","16-59","1-2","60+","Home",0
"2021-01","1-2","60+","1-2","60+","Home",1.28899034348109
"2021-01","3-10","60+","1-2","60+","Home",0
"2021-01","1-2","16-59","3-10","60+","Home",0
"2021-01","3-10","16-59","3-10","60+","Home",0.70774518903714
"2021-01","1-2","60+","3-10","60+","Home",0
"2021-01","3-10","60+","3-10","60+","Home",1.39597092593175
"2021-01","1-2","16-59","1-2","16-59","Other",3.90495961095083
"2021-01","3-10","16-59","1-2","16-59","Other",0.58627922400165
"2021-01","1-2","60+","1-2","16-59","Other",2.00795014117324
"2021-01","3-10","60+","1-2","16-59","Other",0.301467766094104
"2021-01","1-2","16-59","3-10","16-59","Other",2.25239112970239
"2021-01","3-10","16-59","3-10","16-59","Other",5.7449727937069
"2021-01","1-2","60+","3-10","16-59","Other",1.14694609347094
"2021-01","3-10","60+","3-10","16-59","Other",2.92541291605495
"2021-01","1-2","16-59","1-2","60+","Other",0.64295856442944
"2021-01","3-10","16-59","1-2","60+","Other",0.0965319198595043
"2021-01","1-2","60+","1-2","60+","Other",0.958968076217639
"2021-01","3-10","60+","1-2","60+","Other",0.143976664442461
"2021-01","1-2","16-59","3-10","60+","Other",0.46564950534725
"2021-01","3-10","16-59","3-10","60+","Other",1.18769058550524
"2021-01","1-2","60+","3-10","60+","Other",0.626217794875218
"2021-01","3-10","60+","3-10","60+","Other",1.59723777413766
