"type","a","a.","contacts"
"school","40-44","45-49",0.025380910630038
"school","45-49","45-49",0.0311897030611846
"school","50-54","45-49",0.0840802225819959
"school","55-59","45-49",0.0403858624426397
"school","60-64","45-49",0.0187213104603121
"school","65-69","45-49",0.00902315184496115
"school","70-74","45-49",0.0211789542225384
"school","75+?","45-49",8.56946899160467e-60
"school","00-04","50-54",0.0332262425418523
"school","05-09","50-54",0.0455389419561756
"school","10-14","50-54",0.0475266455156331
"school","15-19","50-54",0.0593409098411951
"school","20-24","50-54",0.0143200459609809
"school","25-29","50-54",0.00892328853927439
"school","30-34","50-54",0.0231227931807973
"school","35-39","50-54",0.00420559692851637
"school","40-44","50-54",0.0300673612257279
"school","45-49","50-54",0.0407049943719187
"school","50-54","50-54",0.0450771072819959
"school","55-59","50-54",0.03710925860698
"school","60-64","50-54",0.0152677293449314
"school","65-69","50-54",0.00206745507136502
"school","70-74","50-54",0.035262902153507
"school","75+?","50-54",4.70029115583367e-42
"school","00-04","55-59",0.022052268482114
"school","05-09","55-59",0.0141750859673467
"school","10-14","55-59",0.0239309754070546
"school","15-19","55-59",0.0348855265929734
"school","20-24","55-59",0.0101502806827272
"school","25-29","55-59",0.0145077431907345
"school","30-34","55-59",0.00350661619521286
"school","35-39","55-59",0.00975938252757073
"school","40-44","55-59",0.0083547621330327
"school","45-49","55-59",0.0184629555647562
"school","50-54","55-59",0.0235849083908437
"school","55-59","55-59",0.040575079852511
"school","60-64","55-59",0.00769416317155453
"school","65-69","55-59",0.0157584331002696
"school","70-74","55-59",0.0214619758791642
"school","75+?","55-59",1.5997951039585e-46
"school","00-04","60-64",0.00284546774841596
"school","05-09","60-64",0.00558532444997703
"school","10-14","60-64",0.00612768073907192
"school","15-19","60-64",0.00776429030531262
"school","20-24","60-64",0.000770818807491161
"school","25-29","60-64",0.00482737136681225
"school","30-34","60-64",0.00625258600632161
"school","35-39","60-64",0.000656690817849131
"school","40-44","60-64",0.00671972263957143
"school","45-49","60-64",0.00427036817693492
"school","50-54","60-64",0.00623415743205385
"school","55-59","60-64",0.011840735777007
"school","60-64","60-64",0.0250062067962094
